name,name_ja,address,video_url,lat,lng
無名屋台,むめい やたい,,https://www.youtube.com/watch?v=nzg1lYvBU38,,
正老牌咖哩麵,正老牌咖哩麵,基隆市中正區義二2巷7號,https://www.youtube.com/watch?v=zAi1MJVI4Tk,,
鴨母寮市場,オムロー市場,,https://www.youtube.com/watch?v=sqCGnHXQoIQ,,
安平樹屋,,,https://www.youtube.com/watch?v=sqCGnHXQoIQ,,
文章牛肉湯,,,https://www.youtube.com/watch?v=sqCGnHXQoIQ,,
台南シャングリラホテル,,,https://www.youtube.com/watch?v=sqCGnHXQoIQ,,
中成52號小炒燒烤,,,https://www.youtube.com/watch?v=sqCGnHXQoIQ,,
四草緑色隊道,,,https://www.youtube.com/watch?v=sqCGnHXQoIQ,,
全聯福利中心 台南林森店,クォンリェン フーリ チュウシン タイナン リンセンテン,,https://www.youtube.com/watch?v=sqCGnHXQoIQ,,
鼎泰豊,ディンタイフォン,,https://www.youtube.com/watch?v=i58G-RcPQA0,,
來來豆漿,ライライトウジャン,,https://www.youtube.com/watch?v=Qp09yWO9RBY,,
宜蘭文昌炸醤麺,イーラン ウェンショウ ジャージャン麺,,https://www.youtube.com/watch?v=4c0gytJcYSg,,
北門蒜味肉羹,ベイメン ニンニク風味 肉羹,,https://www.youtube.com/watch?v=4c0gytJcYSg,,
原味豆花,ゲンミ トウファ,,https://www.youtube.com/watch?v=4c0gytJcYSg,,
羅東紅豆湯圓,ルオドン アズキ タンユアン,,https://www.youtube.com/watch?v=4c0gytJcYSg,,
鶏肉麺,鶏肉麺,,https://www.youtube.com/watch?v=U-f-qU8IrgI,,
好好味冰火菠蘿油,,,https://www.youtube.com/watch?v=U-f-qU8IrgI,,
金龍焢肉飯,金龍焢肉飯,,https://www.youtube.com/watch?v=4x9oPv5bdFQ,,
久榮自助餐,久榮自助餐,,https://www.youtube.com/watch?v=4x9oPv5bdFQ,,
易易海南雞飯,易易海南雞飯,,https://www.youtube.com/watch?v=4x9oPv5bdFQ,,
南門市場,なんもんしじょう,,https://www.youtube.com/watch?v=HF6qAwsU_HE,,
Sleepy Tofu Taipei Store,スリーピートウフ タイペイストア,,https://www.youtube.com/watch?v=t4A8A1ZxTsc,,
施福建好吃雞肉,,,https://www.youtube.com/watch?v=BCT3GfE2Dx8,,
來來冰室ComeCome Benz,,,https://www.youtube.com/watch?v=BCT3GfE2Dx8,,
士林廣澤擔仔麺,しりん こうたく たんあめん,,https://www.youtube.com/watch?v=47ll1A2sxrs,,
華榮市場,かえい いちば,,https://www.youtube.com/watch?v=47ll1A2sxrs,,
東道飲食亭,とうどういんしょくてい,,https://www.youtube.com/watch?v=g_gkVq4wAmI,,
最高 居酒屋,さいこう いざかや,,https://www.youtube.com/watch?v=TOBMMOycO8Q,,
2馬快炒,2馬快炒,,https://www.youtube.com/watch?v=TOBMMOycO8Q,,
麗英麺攤,麗英麺攤,,https://www.youtube.com/watch?v=TOBMMOycO8Q,,
良得小吃店,りょうとくしょうしょくてん,,https://www.youtube.com/watch?v=sSqeEBWUj2Q,,
四草緑色隧道,シソウリョクショクトンドウ,,https://www.youtube.com/watch?v=iqsXBZRQmIY,,
快焱自助餐店,快焱自助餐店,,https://www.youtube.com/watch?v=kILB27Ebios,,
梁記滷味,,,https://www.youtube.com/watch?v=y5TS-4bwmB0,,
駱記小炒,,台北市大安区通化街39巷50弄27号,https://www.youtube.com/watch?v=y5TS-4bwmB0,,
御品元傳統手工元宵,,,https://www.youtube.com/watch?v=y5TS-4bwmB0,,
通化夜市九份芋圓,,,https://www.youtube.com/watch?v=y5TS-4bwmB0,,
雙連良鹹湯圓,そうれんりょうかんとうえん,,https://www.youtube.com/watch?v=5cx64ggHZGo,,
打咔生猛活海鮮,だかせいもうかつかいせん,,https://www.youtube.com/watch?v=t9J42hE7Ug0,,
